Customer_ID,Product_ID,Transaction_ID,Purchase_Frequency,Average_Order_Value,Most_Frequent_Category,Time_Between_Purchases,Region,Churn_Probability,Lifetime_Value,Launch_Date,Peak_Sales_Date,Season,Preferred_Purchase_Times,Retention_Strategy,Risk_Level,LTV_Segment,Engagement_Score,Strategy_Success,Recommended_Strategy,Current_Expected_Churn,Projected_Churn,Priority_Score,Action_Priority
CUST_9HOS83,PROD_IK97D1,TRANS_II1DZG,17,172.57,Electronics,45,South America,0.98,952.81,2020-03-14,2023-09-11,Winter,Afternoon,Loyalty Program,High Risk,Low Value,0.695,0,Standard Communication,0.98,0.98,53.76416433994416,High Priority
CUST_AJU17N,PROD_UNN7KP,TRANS_9HJF7I,10,64.89,Clothing,6,South America,0.66,5427.51,2022-10-15,2023-01-02,Spring,Afternoon,Discount,High Risk,Medium Value,0.729,0,Standard Communication,0.66,0.66,60.138201316831605,High Priority
CUST_11XNYF,PROD_0XEW2W,TRANS_OT96OM,3,120.38,Sports,23,Asia,0.6,3994.8,2021-11-30,2023-04-06,Winter,Evening,Loyalty Program,High Risk,Medium Value,0.45,0,Standard Communication,0.6,0.6,49.9744793875053,Monitor
CUST_IGH8G3,PROD_3IIAJN,TRANS_45V00G,12,70.34,Clothing,5,North America,0.78,4880.01,2022-03-20,2023-03-23,Spring,Evening,Discount,High Risk,Medium Value,0.788,0,Standard Communication,0.78,0.78,63.40063561525477,High Priority
CUST_OK6PUM,PROD_VMIWD2,TRANS_ZAK760,18,42.39,Electronics,10,North America,0.52,8557.7,2022-11-09,2023-10-28,Spring,Morning,Discount,Medium Risk,High Value,0.918,0,Discounts,0.52,0.47840000000000005,68.78952694864677,High Priority
CUST_63F5GB,PROD_L0NAD5,TRANS_HI4MBV,12,132.9,Electronics,42,Europe,0.25,8215.33,2020-12-26,2023-12-09,Winter,Evening,Loyalty Program,Low Risk,High Value,0.58,1,Standard Communication,0.25,0.25,53.57763586326072,High Priority
CUST_P9K9F2,PROD_CVVCB0,TRANS_X0MXCI,16,128.43,Clothing,38,Europe,0.94,7031.07,2022-03-15,2023-09-06,Summer,Afternoon,Email Campaign,High Risk,High Value,0.708,0,VIP Treatment,0.94,0.7989999999999999,82.15619374864997,Immediate Action
CUST_EMHZQV,PROD_PVOV5L,TRANS_9B8B46,10,67.52,Electronics,56,Asia,0.56,5167.16,2021-02-17,2023-06-12,Summer,Afternoon,Discount,Medium Risk,Medium Value,0.449,0,Discounts,0.56,0.5152000000000001,53.836420074081786,High Priority
CUST_8E2Q1K,PROD_MG36BV,TRANS_AZ1OW8,7,165.26,Electronics,73,Europe,0.17,9943.51,2021-03-28,2023-02-05,Winter,Evening,Loyalty Program,Low Risk,High Value,0.274,1,Re-engagement Campaign,0.17,0.1496,58.218743249838,High Priority
CUST_4VB1T5,PROD_DKK6UZ,TRANS_AC3353,6,52.86,Home,60,North America,0.59,9978.11,2021-08-16,2023-10-06,Winter,Evening,Loyalty Program,Medium Risk,High Value,0.321,0,Discounts,0.59,0.5428,79.39174740193765,Immediate Action
CUST_67Z31H,PROD_ALVKE7,TRANS_IH0DSW,8,138.72,Electronics,88,Europe,0.45,2758.76,2020-03-22,2023-08-05,Fall,Morning,Loyalty Program,Medium Risk,Low Value,0.216,0,Discounts,0.45,0.41400000000000003,36.29413105914542,Monitor
CUST_FX276G,PROD_K192VJ,TRANS_HEH3CY,13,54.53,Electronics,53,Asia,0.73,9395.6,2021-07-29,2023-12-26,Fall,Morning,Email Campaign,High Risk,High Value,0.544,0,VIP Treatment,0.73,0.6204999999999999,83.47912749905998,Immediate Action
CUST_H605W3,PROD_2Y2RID,TRANS_6G3IVM,5,172.68,Electronics,23,Europe,0.86,6589.81,2021-08-05,2023-04-11,Spring,Afternoon,Email Campaign,High Risk,Medium Value,0.502,0,Standard Communication,0.86,0.86,75.9498407961791,Immediate Action
CUST_7KEA4I,PROD_M35YA3,TRANS_QHURYI,18,30.56,Clothing,83,North America,0.55,1005.72,2021-05-15,2023-11-28,Summer,Morning,Loyalty Program,Medium Risk,Low Value,0.507,0,Discounts,0.55,0.5060000000000001,32.52872068929655,Monitor
CUST_7I11M9,PROD_ELE4RZ,TRANS_W2RL1O,18,95.85,Electronics,13,Asia,0.34,6299.37,2020-08-05,2023-08-06,Spring,Morning,Discount,Medium Risk,Medium Value,0.901,1,Discounts,0.34,0.3128,48.49760594254262,Monitor
CUST_WQB3QG,PROD_IBLABI,TRANS_Y8I3QE,10,108.6,Home,7,Europe,0.89,7317.6,2021-02-13,2023-10-25,Summer,Morning,Loyalty Program,High Risk,High Value,0.724,0,VIP Treatment,0.89,0.7565,81.08887813307518,Immediate Action
CUST_EF8557,PROD_P2DMGE,TRANS_29D2I2,10,139.31,Sports,78,Asia,0.78,6578.3,2022-02-05,2023-11-29,Winter,Evening,Email Campaign,High Risk,Medium Value,0.325,0,Standard Communication,0.78,0.78,71.89228941494596,High Priority
CUST_792ZPI,PROD_JLOC27,TRANS_X42QD9,3,141.64,Home,24,North America,0.2,5902.92,2020-06-04,2023-04-15,Spring,Evening,Email Campaign,Low Risk,Medium Value,0.444,1,Standard Communication,0.2,0.2,39.51530836740082,Monitor
CUST_CNYAZK,PROD_2EQ5LO,TRANS_T73AG3,18,39.17,Clothing,63,North America,0.69,5264.38,2022-01-09,2023-10-15,Fall,Evening,Loyalty Program,High Risk,Medium Value,0.62,0,Standard Communication,0.69,0.69,60.822531740761775,High Priority
CUST_45L1B8,PROD_XFBU9X,TRANS_S38KSO,18,139.37,Sports,69,South America,0.42,9127.85,2022-03-30,2023-07-08,Winter,Evening,Loyalty Program,Medium Risk,High Value,0.586,0,Discounts,0.42,0.3864,66.64034536828883,High Priority
CUST_99ZA53,PROD_2E3MNX,TRANS_O6PCG7,17,105.73,Sports,36,North America,0.66,194.59,2020-04-27,2023-03-16,Spring,Afternoon,Email Campaign,High Risk,Low Value,0.745,0,Standard Communication,0.66,0.66,33.97297335136043,Monitor
CUST_NWGN1Z,PROD_R1Y19O,TRANS_38FJVY,14,93.03,Sports,53,North America,0.78,3845.95,2021-03-12,2023-05-23,Summer,Evening,Email Campaign,High Risk,Medium Value,0.571,0,Standard Communication,0.78,0.78,58.2302115250766,High Priority
CUST_EA95KF,PROD_R6QGPV,TRANS_XB0SUN,16,166.36,Home,83,Asia,0.88,5125.94,2021-03-05,2023-02-07,Winter,Morning,Email Campaign,High Risk,Medium Value,0.455,0,Standard Communication,0.88,0.88,69.63031512756305,High Priority
CUST_5RUZ9U,PROD_KCO2XQ,TRANS_N2ZWKU,11,106.34,Home,41,North America,0.17,627.2,2020-03-20,2023-11-04,Winter,Evening,Loyalty Program,Low Risk,Low Value,0.559,1,Standard Communication,0.17,0.17,11.63607526580638,Maintain
CUST_T95LCL,PROD_V9G363,TRANS_19AA2Z,19,58.13,Home,39,Europe,0.83,1794.11,2020-04-11,2023-09-27,Summer,Evening,Discount,High Risk,Low Value,0.781,0,Standard Communication,0.83,0.83,50.47076529836716,High Priority
CUST_MD1TF0,PROD_VWJAW6,TRANS_5QZIZO,9,100.65,Electronics,29,North America,0.82,9709.29,2021-07-11,2023-08-03,Fall,Evening,Email Campaign,High Risk,High Value,0.574,0,VIP Treatment,0.82,0.697,89.54761514276342,Immediate Action
CUST_2H3FIT,PROD_LLJO26,TRANS_BN90ZR,11,138.91,Electronics,36,South America,0.45,1699.1,2022-10-31,2023-04-20,Fall,Evening,Email Campaign,Medium Risk,Low Value,0.587,0,Discounts,0.45,0.41400000000000003,30.995703896893524,Monitor
CUST_ASIAQN,PROD_A0GGZN,TRANS_XZMA7R,4,179.37,Home,12,Europe,0.28,3526.92,2021-11-16,2023-04-19,Summer,Evening,Discount,Low Risk,Medium Value,0.538,1,Standard Communication,0.28,0.28,31.63502324055778,Monitor
CUST_5VD1AF,PROD_9FP1KM,TRANS_2REXOG,18,47.25,Clothing,54,Europe,0.55,3666.4,2020-11-03,2023-06-07,Fall,Afternoon,Email Campaign,Medium Risk,Medium Value,0.67,0,Discounts,0.55,0.5060000000000001,45.83243997855949,Monitor
