Customer_ID,Risk_Level,LTV_Segment,Engagement_Score,Priority_Score,Action_Priority
CUST_9HOS83,High Risk,Low Value,0.695,53.76416433994416,High Priority
CUST_AJU17N,High Risk,Medium Value,0.729,60.138201316831605,High Priority
CUST_11XNYF,High Risk,Medium Value,0.45,49.9744793875053,Monitor
CUST_IGH8G3,High Risk,Medium Value,0.788,63.40063561525477,High Priority
CUST_OK6PUM,Medium Risk,High Value,0.918,68.78952694864677,High Priority
CUST_63F5GB,Low Risk,High Value,0.58,53.57763586326072,High Priority
CUST_P9K9F2,High Risk,High Value,0.708,82.15619374864997,Immediate Action
CUST_EMHZQV,Medium Risk,Medium Value,0.449,53.836420074081786,High Priority
CUST_8E2Q1K,Low Risk,High Value,0.274,58.218743249838,High Priority
CUST_4VB1T5,Medium Risk,High Value,0.321,79.39174740193765,Immediate Action
CUST_67Z31H,Medium Risk,Low Value,0.216,36.29413105914542,Monitor
CUST_FX276G,High Risk,High Value,0.544,83.47912749905998,Immediate Action
CUST_H605W3,High Risk,Medium Value,0.502,75.9498407961791,Immediate Action
CUST_7KEA4I,Medium Risk,Low Value,0.507,32.52872068929655,Monitor
CUST_7I11M9,Medium Risk,Medium Value,0.901,48.49760594254262,Monitor
CUST_WQB3QG,High Risk,High Value,0.724,81.08887813307518,Immediate Action
CUST_EF8557,High Risk,Medium Value,0.325,71.89228941494596,High Priority
CUST_792ZPI,Low Risk,Medium Value,0.444,39.51530836740082,Monitor
CUST_CNYAZK,High Risk,Medium Value,0.62,60.822531740761775,High Priority
CUST_45L1B8,Medium Risk,High Value,0.586,66.64034536828883,High Priority
CUST_99ZA53,High Risk,Low Value,0.745,33.97297335136043,Monitor
CUST_NWGN1Z,High Risk,Medium Value,0.571,58.2302115250766,High Priority
CUST_EA95KF,High Risk,Medium Value,0.455,69.63031512756305,High Priority
CUST_5RUZ9U,Low Risk,Low Value,0.559,11.63607526580638,Maintain
CUST_T95LCL,High Risk,Low Value,0.781,50.47076529836716,High Priority
CUST_MD1TF0,High Risk,High Value,0.574,89.54761514276342,Immediate Action
CUST_2H3FIT,Medium Risk,Low Value,0.587,30.995703896893524,Monitor
CUST_ASIAQN,Low Risk,Medium Value,0.538,31.63502324055778,Monitor
CUST_5VD1AF,Medium Risk,Medium Value,0.67,45.83243997855949,Monitor
CUST_5C973R,High Risk,Low Value,0.617,48.14494347864349,Monitor
CUST_G8HU0Y,Medium Risk,Medium Value,0.668,40.7925470211285,Monitor
CUST_2KHJ4Y,Low Risk,Low Value,0.156,23.76564637551301,Maintain
CUST_OL6Z6A,High Risk,Medium Value,0.327,66.80246325911821,High Priority
CUST_80XT8K,Low Risk,High Value,0.345,50.533238797731144,High Priority
CUST_MSNQX0,Medium Risk,Low Value,0.481,27.66826203828892,Monitor
CUST_4XM4T8,High Risk,Medium Value,0.719,81.13683328399881,Immediate Action
CUST_NMIM67,Low Risk,High Value,0.188,57.686792483019595,High Priority
CUST_G3CBW1,High Risk,Medium Value,0.496,66.92768026432634,High Priority
CUST_LMWRL7,Medium Risk,Medium Value,0.518,61.04485707656984,High Priority
CUST_BP1CZW,High Risk,Medium Value,0.904,70.80153323679768,High Priority
CUST_V6TG3I,High Risk,Medium Value,0.274,68.92532620782899,High Priority
