Customer_ID,Region,Retention_Strategy,Recommended_Strategy,Risk_Level,LTV_Segment,Action_Priority,Churn_Probability,Projected_Churn,Lifetime_Value,Purchase_Frequency,Average_Order_Value,Engagement_Score,Most_Frequent_Category,Time_Between_Purchases
CUST_9HOS83,South America,Loyalty Program,Standard Communication,High Risk,Low Value,High Priority,0.98,0.98,952.81,17,172.57,0.695,Electronics,45
CUST_AJU17N,South America,Discount,Standard Communication,High Risk,Medium Value,High Priority,0.66,0.66,5427.51,10,64.89,0.729,Clothing,6
CUST_11XNYF,Asia,Loyalty Program,Standard Communication,High Risk,Medium Value,Monitor,0.6,0.6,3994.8,3,120.38,0.45,Sports,23
CUST_IGH8G3,North America,Discount,Standard Communication,High Risk,Medium Value,High Priority,0.78,0.78,4880.01,12,70.34,0.788,Clothing,5
CUST_OK6PUM,North America,Discount,Discounts,Medium Risk,High Value,High Priority,0.52,0.47840000000000005,8557.7,18,42.39,0.918,Electronics,10
CUST_63F5GB,Europe,Loyalty Program,Standard Communication,Low Risk,High Value,High Priority,0.25,0.25,8215.33,12,132.9,0.58,Electronics,42
CUST_P9K9F2,Europe,Email Campaign,VIP Treatment,High Risk,High Value,Immediate Action,0.94,0.7989999999999999,7031.07,16,128.43,0.708,Clothing,38
CUST_EMHZQV,Asia,Discount,Discounts,Medium Risk,Medium Value,High Priority,0.56,0.5152000000000001,5167.16,10,67.52,0.449,Electronics,56
CUST_8E2Q1K,Europe,Loyalty Program,Re-engagement Campaign,Low Risk,High Value,High Priority,0.17,0.1496,9943.51,7,165.26,0.274,Electronics,73
CUST_4VB1T5,North America,Loyalty Program,Discounts,Medium Risk,High Value,Immediate Action,0.59,0.5428,9978.11,6,52.86,0.321,Home,60
CUST_67Z31H,Europe,Loyalty Program,Discounts,Medium Risk,Low Value,Monitor,0.45,0.41400000000000003,2758.76,8,138.72,0.216,Electronics,88
CUST_FX276G,Asia,Email Campaign,VIP Treatment,High Risk,High Value,Immediate Action,0.73,0.6204999999999999,9395.6,13,54.53,0.544,Electronics,53
CUST_H605W3,Europe,Email Campaign,Standard Communication,High Risk,Medium Value,Immediate Action,0.86,0.86,6589.81,5,172.68,0.502,Electronics,23
CUST_7KEA4I,North America,Loyalty Program,Discounts,Medium Risk,Low Value,Monitor,0.55,0.5060000000000001,1005.72,18,30.56,0.507,Clothing,83
CUST_7I11M9,Asia,Discount,Discounts,Medium Risk,Medium Value,Monitor,0.34,0.3128,6299.37,18,95.85,0.901,Electronics,13
CUST_WQB3QG,Europe,Loyalty Program,VIP Treatment,High Risk,High Value,Immediate Action,0.89,0.7565,7317.6,10,108.6,0.724,Home,7
CUST_EF8557,Asia,Email Campaign,Standard Communication,High Risk,Medium Value,High Priority,0.78,0.78,6578.3,10,139.31,0.325,Sports,78
CUST_792ZPI,North America,Email Campaign,Standard Communication,Low Risk,Medium Value,Monitor,0.2,0.2,5902.92,3,141.64,0.444,Home,24
CUST_CNYAZK,North America,Loyalty Program,Standard Communication,High Risk,Medium Value,High Priority,0.69,0.69,5264.38,18,39.17,0.62,Clothing,63
CUST_45L1B8,South America,Loyalty Program,Discounts,Medium Risk,High Value,High Priority,0.42,0.3864,9127.85,18,139.37,0.586,Sports,69
CUST_99ZA53,North America,Email Campaign,Standard Communication,High Risk,Low Value,Monitor,0.66,0.66,194.59,17,105.73,0.745,Sports,36
CUST_NWGN1Z,North America,Email Campaign,Standard Communication,High Risk,Medium Value,High Priority,0.78,0.78,3845.95,14,93.03,0.571,Sports,53
CUST_EA95KF,Asia,Email Campaign,Standard Communication,High Risk,Medium Value,High Priority,0.88,0.88,5125.94,16,166.36,0.455,Home,83
CUST_5RUZ9U,North America,Loyalty Program,Standard Communication,Low Risk,Low Value,Maintain,0.17,0.17,627.2,11,106.34,0.559,Home,41
CUST_T95LCL,Europe,Discount,Standard Communication,High Risk,Low Value,High Priority,0.83,0.83,1794.11,19,58.13,0.781,Home,39
CUST_MD1TF0,North America,Email Campaign,VIP Treatment,High Risk,High Value,Immediate Action,0.82,0.697,9709.29,9,100.65,0.574,Electronics,29
CUST_2H3FIT,South America,Email Campaign,Discounts,Medium Risk,Low Value,Monitor,0.45,0.41400000000000003,1699.1,11,138.91,0.587,Electronics,36
CUST_ASIAQN,Europe,Discount,Standard Communication,Low Risk,Medium Value,Monitor,0.28,0.28,3526.92,4,179.37,0.538,Home,12
CUST_5VD1AF,Europe,Email Campaign,Discounts,Medium Risk,Medium Value,Monitor,0.55,0.5060000000000001,3666.4,18,47.25,0.67,Clothing,54
CUST_5C973R,Asia,Discount,Standard Communication,High Risk,Low Value,Monitor,0.76,0.76,2028.94,7,165.36,0.617,Home,12
CUST_G8HU0Y,South America,Loyalty Program,Discounts,Medium Risk,Medium Value,Monitor,0.36,0.3312,4558.4,13,169.44,0.668,Electronics,31
CUST_2KHJ4Y,Asia,Email Campaign,Re-engagement Campaign,Low Risk,Low Value,Maintain,0.27,0.2376,2053.08,1,138.29,0.156,Electronics,66
CUST_OL6Z6A,North America,Discount,Standard Communication,High Risk,Medium Value,High Priority,0.95,0.95,3860.4,12,101.33,0.327,Sports,87
CUST_80XT8K,South America,Discount,Standard Communication,Low Risk,High Value,High Priority,0.27,0.27,7406.47,2,51.68,0.345,Clothing,37
CUST_MSNQX0,South America,Email Campaign,Discounts,Medium Risk,Low Value,Monitor,0.46,0.4232,933.63,14,48.23,0.481,Home,69
CUST_4XM4T8,South America,Discount,Standard Communication,High Risk,Medium Value,Immediate Action,0.97,0.97,6527.21,19,58.92,0.719,Sports,50
CUST_NMIM67,Asia,Loyalty Program,Re-engagement Campaign,Low Risk,High Value,High Priority,0.16,0.1408,9937.12,5,37.72,0.188,Sports,79
CUST_G3CBW1,North America,Email Campaign,Standard Communication,High Risk,Medium Value,High Priority,0.98,0.98,3585.45,2,61.25,0.496,Electronics,10
CUST_LMWRL7,North America,Discount,Discounts,Medium Risk,Medium Value,High Priority,0.59,0.5428,6308.82,9,46.48,0.518,Clothing,39
CUST_BP1CZW,South America,Discount,Standard Communication,High Risk,Medium Value,High Priority,0.93,0.93,4860.19,19,23.99,0.904,Sports,17
CUST_V6TG3I,Europe,Email Campaign,Re-engagement Campaign,High Risk,Medium Value,High Priority,0.94,0.8271999999999999,4384.96,4,182.98,0.274,Clothing,59
CUST_PBDQSR,North America,Email Campaign,Discounts,Medium Risk,Medium Value,Monitor,0.44,0.4048,3917.09,5,99.78,0.339,Home,52
CUST_4D8TQ7,Europe,Email Campaign,Re-engagement Campaign,Low Risk,Medium Value,Monitor,0.11,0.0968,6457.94,2,144.04,0.114,Electronics,78
CUST_PE88A7,Asia,Email Campaign,Discounts,Medium Risk,High Value,Immediate Action,0.54,0.4968000000000001,9793.48,16,147.99,0.764,Home,28
CUST_FQDNFA,North America,Loyalty Program,Standard Communication,High Risk,Low Value,Monitor,0.78,0.78,2071.72,6,43.79,0.388,Electronics,48
CUST_5LNW0H,Europe,Email Campaign,Standard Communication,High Risk,Medium Value,High Priority,0.97,0.97,4032.5,9,140.74,0.551,Electronics,33
CUST_5YEMJD,Asia,Loyalty Program,Standard Communication,High Risk,Medium Value,High Priority,0.6,0.6,4170.08,10,168.79,0.364,Sports,71
CUST_QU7QVL,Europe,Discount,Standard Communication,Low Risk,Medium Value,Monitor,0.28,0.28,5093.39,4,180.07,0.392,Clothing,38
CUST_29DO3Z,Europe,Discount,Standard Communication,Low Risk,Low Value,Maintain,0.24,0.24,1686.06,3,151.9,0.394,Home,33
CUST_L6Y0LJ,North America,Email Campaign,Standard Communication,Low Risk,High Value,High Priority,0.26,0.26,8156.23,13,54.2,0.454,Clothing,69
CUST_3CJ2R1,Asia,Loyalty Program,Standard Communication,Low Risk,Medium Value,Monitor,0.18,0.18,4456.32,4,70.04,0.42,Sports,33
CUST_TWR7Q9,South America,Loyalty Program,Standard Communication,High Risk,Low Value,High Priority,0.92,0.92,3278.04,11,79.79,0.655,Electronics,24
CUST_BT8F7N,Asia,Discount,Standard Communication,Low Risk,High Value,High Priority,0.24,0.24,8513.1,7,141.62,0.493,Home,34
CUST_44WU3H,North America,Email Campaign,VIP Treatment,High Risk,High Value,Immediate Action,0.99,0.8415,9777.23,17,25.67,0.807,Electronics,25
CUST_9CCEOL,North America,Loyalty Program,Standard Communication,Low Risk,High Value,Monitor,0.04,0.04,7429.9,8,121.15,0.3,Home,73
CUST_5CMJNC,North America,Loyalty Program,VIP Treatment,High Risk,High Value,Immediate Action,1.0,0.85,9884.14,5,159.29,0.502,Clothing,23
CUST_RIOS1B,North America,Discount,VIP Treatment,High Risk,High Value,Immediate Action,0.75,0.6375,9939.87,7,143.17,0.285,Electronics,71
CUST_UHM0W0,South America,Loyalty Program,Discounts,Medium Risk,Low Value,Maintain,0.3,0.276,481.09,18,112.91,0.918,Sports,10
CUST_XYCV8A,Europe,Loyalty Program,Re-engagement Campaign,Low Risk,Medium Value,Monitor,0.25,0.22,4389.88,2,87.07,0.21,Sports,61
CUST_1XBJ9U,South America,Email Campaign,Discounts,Medium Risk,Medium Value,High Priority,0.45,0.41400000000000003,6536.15,16,90.59,0.887,Electronics,6
CUST_SG4B8W,Asia,Loyalty Program,Standard Communication,Low Risk,Low Value,Maintain,0.28,0.28,514.55,16,155.46,0.522,Electronics,71
CUST_YNB5QL,North America,Loyalty Program,Discounts,Medium Risk,Medium Value,High Priority,0.37,0.34040000000000004,6446.33,1,29.43,0.122,Clothing,72
CUST_UL763Z,North America,Discount,Discounts,Medium Risk,Low Value,Monitor,0.36,0.3312,3209.14,11,187.02,0.525,Home,47
CUST_PLP8HF,North America,Discount,Standard Communication,Low Risk,Medium Value,Monitor,0.09,0.09,4250.12,8,193.61,0.536,Clothing,31
CUST_RB6RRC,North America,Discount,Discounts,Medium Risk,Medium Value,Monitor,0.49,0.45080000000000003,3399.96,1,165.46,0.105,Clothing,75
CUST_E8RVBQ,North America,Email Campaign,Discounts,Medium Risk,Medium Value,High Priority,0.54,0.4968000000000001,4979.03,5,141.7,0.48,Clothing,27
CUST_BY0GMM,Asia,Email Campaign,VIP Treatment,High Risk,High Value,Immediate Action,0.92,0.782,6700.23,9,76.18,0.242,Clothing,88
CUST_A2HM1J,Europe,Discount,Discounts,Medium Risk,High Value,High Priority,0.35,0.322,8484.97,11,105.41,0.683,Clothing,19
CUST_8G18L2,North America,Discount,Standard Communication,High Risk,Low Value,High Priority,0.94,0.94,2131.19,12,195.98,0.423,Clothing,70
CUST_G141RX,Asia,Email Campaign,Standard Communication,High Risk,Medium Value,High Priority,0.82,0.82,5732.6,13,40.69,0.735,Electronics,19
CUST_VZC5ZH,Europe,Discount,Re-engagement Campaign,Low Risk,Medium Value,Maintain,0.04,0.0352,4436.29,8,168.99,0.289,Electronics,75
CUST_FSDTLK,North America,Discount,Standard Communication,Low Risk,Low Value,Maintain,0.08,0.08,549.09,7,52.13,0.459,Electronics,40
CUST_JPDA4D,South America,Loyalty Program,Standard Communication,High Risk,Medium Value,High Priority,0.76,0.76,3714.99,12,121.6,0.647,Electronics,30
CUST_H4OVTS,Europe,Discount,Standard Communication,Low Risk,High Value,Monitor,0.13,0.13,7543.91,17,39.01,0.532,Sports,74
CUST_Q19TO6,South America,Email Campaign,Standard Communication,Low Risk,High Value,Monitor,0.23,0.23,6924.0,13,161.93,0.393,Clothing,80
CUST_QH5U2G,Asia,Email Campaign,Standard Communication,Low Risk,Low Value,Maintain,0.12,0.12,955.14,10,69.27,0.493,Home,48
CUST_REKKSM,Asia,Discount,Standard Communication,High Risk,Medium Value,High Priority,0.8,0.8,5970.92,5,78.06,0.412,Clothing,39
CUST_12P5SP,Europe,Discount,Re-engagement Campaign,Low Risk,Medium Value,Monitor,0.05,0.044000000000000004,6353.19,4,37.09,0.178,Sports,76
CUST_934TJ6,Asia,Loyalty Program,Discounts,Medium Risk,Medium Value,High Priority,0.37,0.34040000000000004,6435.21,10,105.61,0.443,Clothing,57
