Customer_ID,Retention_Strategy,Recommended_Strategy,Churn_Probability,Projected_Churn,Lifetime_Value
CUST_9HOS83,Loyalty Program,Standard Communication,0.98,0.98,952.81
CUST_AJU17N,Discount,Standard Communication,0.66,0.66,5427.51
CUST_11XNYF,Loyalty Program,Standard Communication,0.6,0.6,3994.8
CUST_IGH8G3,Discount,Standard Communication,0.78,0.78,4880.01
CUST_OK6PUM,Discount,Discounts,0.52,0.47840000000000005,8557.7
CUST_63F5GB,Loyalty Program,Standard Communication,0.25,0.25,8215.33
CUST_P9K9F2,Email Campaign,VIP Treatment,0.94,0.7989999999999999,7031.07
CUST_EMHZQV,Discount,Discounts,0.56,0.5152000000000001,5167.16
CUST_8E2Q1K,Loyalty Program,Re-engagement Campaign,0.17,0.1496,9943.51
CUST_4VB1T5,Loyalty Program,Discounts,0.59,0.5428,9978.11
CUST_67Z31H,Loyalty Program,Discounts,0.45,0.41400000000000003,2758.76
CUST_FX276G,Email Campaign,VIP Treatment,0.73,0.6204999999999999,9395.6
CUST_H605W3,Email Campaign,Standard Communication,0.86,0.86,6589.81
CUST_7KEA4I,Loyalty Program,Discounts,0.55,0.5060000000000001,1005.72
CUST_7I11M9,Discount,Discounts,0.34,0.3128,6299.37
CUST_WQB3QG,Loyalty Program,VIP Treatment,0.89,0.7565,7317.6
CUST_EF8557,Email Campaign,Standard Communication,0.78,0.78,6578.3
CUST_792ZPI,Email Campaign,Standard Communication,0.2,0.2,5902.92
CUST_CNYAZK,Loyalty Program,Standard Communication,0.69,0.69,5264.38
CUST_45L1B8,Loyalty Program,Discounts,0.42,0.3864,9127.85
CUST_99ZA53,Email Campaign,Standard Communication,0.66,0.66,194.59
CUST_NWGN1Z,Email Campaign,Standard Communication,0.78,0.78,3845.95
CUST_EA95KF,Email Campaign,Standard Communication,0.88,0.88,5125.94
CUST_5RUZ9U,Loyalty Program,Standard Communication,0.17,0.17,627.2
CUST_T95LCL,Discount,Standard Communication,0.83,0.83,1794.11
CUST_MD1TF0,Email Campaign,VIP Treatment,0.82,0.697,9709.29
CUST_2H3FIT,Email Campaign,Discounts,0.45,0.41400000000000003,1699.1
CUST_ASIAQN,Discount,Standard Communication,0.28,0.28,3526.92
CUST_5VD1AF,Email Campaign,Discounts,0.55,0.5060000000000001,3666.4
CUST_5C973R,Discount,Standard Communication,0.76,0.76,2028.94
CUST_G8HU0Y,Loyalty Program,Discounts,0.36,0.3312,4558.4
CUST_2KHJ4Y,Email Campaign,Re-engagement Campaign,0.27,0.2376,2053.08
CUST_OL6Z6A,Discount,Standard Communication,0.95,0.95,3860.4
CUST_80XT8K,Discount,Standard Communication,0.27,0.27,7406.47
CUST_MSNQX0,Email Campaign,Discounts,0.46,0.4232,933.63
CUST_4XM4T8,Discount,Standard Communication,0.97,0.97,6527.21
CUST_NMIM67,Loyalty Program,Re-engagement Campaign,0.16,0.1408,9937.12
CUST_G3CBW1,Email Campaign,Standard Communication,0.98,0.98,3585.45
CUST_LMWRL7,Discount,Discounts,0.59,0.5428,6308.82
CUST_BP1CZW,Discount,Standard Communication,0.93,0.93,4860.19
CUST_V6TG3I,Email Campaign,Re-engagement Campaign,0.94,0.8271999999999999,4384.96
CUST_PBDQSR,Email Campaign,Discounts,0.44,0.4048,3917.09
